Trial ID,pid,Question,True Ans
310,142,Have you ever seen an ostrich?,1
310,142,Have you ever been to Donegal?,0
310,142,Have you ever been to Asia?,0
310,142,Have you ever been bowling?,1
310,142,Have you ever seen the ocean?,1
310,142,Have you ever seen Stonehenge?,0
310,142,Have you ever gone fishing?,1
310,142,Have you ever seen the Mona_Lisa?,0
310,142,Have you ever been to the Olympics?,0
310,142,Have you ever collected antiques?,0
310,142,Have you ever slept in a hammock?,1
310,142,Have you ever eaten pizza?,1
310,142,Have you ever seen rugby?,1
310,142,Have you ever met a professor?,1
310,142,Have you ever climbed a mountain?,1
310,142,Have you ever been to a hospital?,1
310,142,Have you ever eaten octopus?,0
310,142,Have you ever been to a restaurant?,1
310,142,Have you ever seen a movie?,1
310,142,Have you ever baked cupcakes?,1
310,142,Have you ever made a joke?,1
310,142,Have you ever been to a park?,1
310,142,Have you ever built a fire?,1
310,142,Have you ever bought a house?,0
310,142,Have you ever been backpacking?,1
310,142,Have you ever bought a surfboard?,0
310,142,Have you ever slept in Berlin?,0
310,142,Have you ever met Messi?,0
310,142,Have you ever made sushi?,0
310,142,Have you ever played dominoes?,1
310,142,Have you ever built a robot?,0
310,142,Have you ever sat on a camel?,0
